"team","conference","tier","logo_url","wordmark_url","primary","secondary"
"New Mexico","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png","#000000","#231f20"
"San Diego State","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_diego_state_aztecs_logo_wordmark_20135405.png","#BF2C37","#a8996e"
"San José State","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_jose_state_spartans_logo_secondary_2018_sportslogosnet-7284.png","#005893","#fdba31"
"UNLV","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/unlv_rebels_logo_secondary_2017_sportslogosnet-7738.png","#000000","#c2c4c6"
"Utah State","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/utah_state_aggies_logo_wordmark_20149097.png","#003263","#949ca1"
"Wyoming","Mountain West","G5","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1604_wyoming_cowboys-wordmark-2004.png","#533B22","#ffffff"
"Oregon State","Pac-12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/204.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oregon_state_beavers_logo_wordmark_20133449.png","#c34500","#dea076"
"Washington State","Pac-12","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png","#94022a","#6a747c"
"Alabama","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/alabama_crimson_tide_logo_secondary_19987746.png","#690014","#f1f2f3"
"Arkansas","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2749_arkansas_razorbacks-wordmark-2014.png","#9c1831","#000000"
"Auburn","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/auburn_tigers_logo_wordmark_20067195.png","#03244d","#f1f2f3"
"Florida","SEC","P5","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9227_florida_gators-wordmark-1992.png","#0021A5","#0021a5"
